change_price,changePercent,vol,high,low,last
0.005,1.72,"40,152",0.295,0.295,0.295
-0.005,-2.38,"40,048",0.21,0.21,0.205
0.01,6.06,"39,282",0.18,0.18,0.175
0.02,0.64,"39,280",3.2,3.2,3.16
-,-,"37,766",1.17,1.17,1.15
0.02,4,"36,528",0.525,0.525,0.52
0.015,1.72,"35,818",0.905,0.905,0.885
-0.005,-1.72,"35,450",0.295,0.295,0.285
-0.025,-4.17,"35,087",0.6,0.6,0.575
0.015,2.27,"34,959",0.69,0.69,0.675
0.07,3.61,"34,587",2.02,2.02,2.01
-,-,"34,159",0.315,0.315,0.305
0.025,8.77,"33,727",0.325,0.325,0.31
0.005,3.33,"33,620",0.155,0.155,0.155
0.09,1.67,"33,319",5.54,5.54,5.48
-0.01,-5.71,"33,000",0.18,0.18,0.165
-,-,"32,962",0.01,0.01,0.01
-,-,"32,934",0.095,0.095,0.09
-0.01,-1.48,"32,591",0.68,0.68,0.665
-0.02,-0.39,"32,509",5.19,5.19,5.13
0.005,1,"32,482",0.51,0.51,0.505
-,-,"32,376",0.015,0.015,0.015
-0.01,-0.63,"32,270",1.61,1.61,1.58
0.08,6.06,"32,115",1.42,1.42,1.4
0.025,2.6,"31,911",0.985,0.985,0.985
0.01,0.26,"31,693",3.86,3.86,3.83
-0.015,-4,"31,494",0.38,0.38,0.36
-0.005,-1.82,"31,310",0.275,0.275,0.27
0.01,3.23,"31,283",0.335,0.335,0.32
0.02,0.65,"31,143",3.13,3.13,3.09
0.025,9.09,"31,102",0.32,0.32,0.3
-0.005,-14.29,"31,074",0.03,0.03,0.03
0.03,1.02,"30,979",3.01,3.01,2.96
-,-,"30,736",2.37,2.37,2.37
0.005,14.29,"30,141",0.04,0.04,0.04
-0.01,-7.14,"30,000",0.13,0.13,0.13
-0.01,-0.28,"29,888",3.65,3.65,3.61
0.01,1.65,"29,825",0.625,0.625,0.615
-,-,"29,478",0.045,0.045,0.04
0.01,0.9,"29,454",1.15,1.15,1.12
0.04,2.5,"29,442",1.64,1.64,1.64
0.005,2.27,"29,377",0.235,0.235,0.225
0.07,1.57,"29,376",4.6,4.6,4.52
-0.005,-1.33,"28,390",0.375,0.375,0.37
0.005,0.8,"28,362",0.63,0.63,0.63
